 0.74094E-06 0.71898E-06 0.69085E-06 0.65870E-06 0.62438E-06
 0.58943E-06 0.55502E-06 0.52216E-06 0.49154E-06 0.46369E-06
 0.43893E-06 0.41719E-06 0.39869E-06 0.38338E-06 0.37111E-06
 0.36171E-06 0.35483E-06 0.35078E-06 0.34910E-06 0.34901E-06
 0.35026E-06 0.35261E-06 0.35584E-06 0.35973E-06 0.36409E-06
 0.36875E-06 0.37346E-06 0.37820E-06 0.38287E-06 0.38741E-06
 0.39175E-06 0.39560E-06 0.39920E-06 0.40251E-06 0.40554E-06
 0.40829E-06 0.41077E-06 0.41299E-06 0.41498E-06 0.41674E-06
 0.41831E-06 0.41969E-06 0.42091E-06 0.42197E-06 0.42290E-06
 0.42371E-06 0.42441E-06 0.42502E-06 0.42555E-06 0.42602E-06
 0.42641E-06 0.42676E-06 0.42706E-06 0.42732E-06 0.42755E-06
 0.42775E-06 0.42793E-06 0.42809E-06 0.42823E-06 0.42835E-06
 0.42846E-06 0.42857E-06 0.42866E-06 0.42875E-06 0.42884E-06
 0.42892E-06

 0.00000E+00 0.50050E-02 0.28925E-02 0.19351E-02 0.17679E-02
 0.17029E-02 0.16863E-02 0.16956E-02 0.17192E-02 0.17509E-02
 0.15199E-02 0.15435E-02 0.15679E-02 0.15924E-02 0.16166E-02
 0.16404E-02 0.16635E-02 0.16859E-02 0.17076E-02 0.17287E-02
 0.17492E-02 0.17692E-02 0.17886E-02 0.18077E-02 0.18263E-02
 0.18447E-02 0.18629E-02 0.18808E-02 0.18986E-02 0.19164E-02
 0.19341E-02 0.19517E-02 0.19694E-02 0.19871E-02 0.20048E-02
 0.20224E-02 0.20401E-02 0.20578E-02 0.20754E-02 0.20931E-02
 0.21108E-02 0.21285E-02 0.21461E-02 0.21638E-02 0.21815E-02
 0.21992E-02 0.22168E-02 0.22345E-02 0.22522E-02 0.22698E-02
 0.22875E-02 0.23052E-02 0.23229E-02 0.23405E-02 0.23582E-02
 0.23759E-02 0.23936E-02 0.24112E-02 0.24289E-02 0.24466E-02
 0.24642E-02 0.24819E-02 0.24996E-02 0.25173E-02 0.25349E-02
 0.25526E-02 0.25703E-02 0.25879E-02 0.26056E-02 0.26233E-02
 0.26410E-02 0.26586E-02 0.26763E-02 0.26940E-02 0.27117E-02
 0.27293E-02 0.27470E-02 0.27647E-02 0.27823E-02 0.28000E-02
 0.28177E-02

